Date,Time,Location,Sub-location,Source,Notes,Longitude,Latitude,Postal,Area
6/2/2021,1420h - 1520h,Velocity@Novena Square (238 Thomson Road),NaN,https://www.todayonline.com/singapore/hdb-hub-redhill-market-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-13,103.8438404,1.320458518,NIL,Novena
6/2/2021,2115h - 2150h,Sheng Shiong Supermarket (52 Chin Swee Road),NaN,https://www.todayonline.com/singapore/hawker-stall-telok-blangah-food-centre-punggol-supermarket-among-10-places-visited-covid,Added/ Updated on 2021-06-15,103.8415801,1.287082783,160052,Outram
6/1/2021,0735h - 0810h,Sheng Shiong Supermarket (446A Fajar Road),NaN,https://www.todayonline.com/singapore/3-supermarkets-bukit-panjang-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-08,103.7713507,1.383777987,671446,Bukit Panjang
6/1/2021,0900h - 0930h,Beo Crescent Market (38A Beo Crescent),NaN,https://www.todayonline.com/singapore/bukit-merah-view-market-ion-orchard-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-14,103.8274008,1.288840079,169982,Outram
6/1/2021,1000h - 1230h,JIC Inspection Services (53 Pioneer Road),NaN,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.6578322,1.311331493,628505,Tuas
6/1/2021,1100h - 1230h,VICOM Inspection Centre (511 Bukit Batok Street 2),NaN,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.7558323,1.341759783,659545,Bukit Batok
6/1/2021,1230h - 2030h,"ION Orchard (2 Orchard Turn) 
",Guardian,https://www.todayonline.com/singapore/clementi-mall-supermarkets-bukit-merah-and-tanglin-halt-among-places-visited-covid-19,Added/ Updated on 2021-06-16,103.8317743,1.30419842,NIL,Orchard
6/1/2021,1620h - 1810h,Hair Flare (201B Tampines Street 21),NaN,https://www.todayonline.com/singapore/hawker-stall-telok-blangah-food-centre-punggol-supermarket-among-10-places-visited-covid,Added/ Updated on 2021-06-15,103.9530237,1.353435453,522201,Tampines
6/1/2021,1725h - 1800h,Yew Tee Point (21 Choa Chu Kang North 6),NTUC FairPrice,https://www.todayonline.com/singapore/luxury-boutiques-marina-bay-sands-ion-orchard-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-06-10,103.7465581,1.397301909,689578,Sungei Kadut
6/1/2021,1955h - 2030h,Seletar Mall (33 Sengkang West Avenue)  ,FairPrice Finest,https://www.todayonline.com/singapore/hdb-hub-redhill-market-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-13,103.876157,1.391368809,797653,Seletar
6/1/2021,1955h - 2030h,Seletar Mall (33 Sengkang West Avenue),NTUC FairPrice,https://mothership.sg/2021/06/june-4-covid-19-evening-update/,Added/ Updated on 2021-06-05,103.876157,1.391368809,797653,Seletar
6/1/2021,2100h - 2130h,HDB Hub (500 Toa Payoh Lorong 6)  ,NTUC FairPrice,https://www.todayonline.com/singapore/hdb-hub-redhill-market-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-13,103.8471182,1.332761179,310500,Novena
5/31/2021,1140h - 1500h,Marina Bay Sands (2 Bayfront Avenue),Church's,https://www.todayonline.com/singapore/luxury-boutiques-marina-bay-sands-ion-orchard-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-06-10,103.8576291,1.283322499,18972,Straits View
5/31/2021,1835h - 1920h,Woodlands Galaxy Community Club (31 Woodlands Avenue 6),NaN,https://mothership.sg/2021/06/june-10-list-of-locations-visited-by-infectious-covid-19-cases/,Added/ Updated on 2021-06-11,103.802611,1.43904161,NIL,Sembawang
5/30/2021,0600h - 1900h,ION Orchard (2 Orchard Turn),NaN,https://www.todayonline.com/singapore/bukit-merah-view-market-ion-orchard-among-places-visited-covid-19-cases-while-infectious,"Added/ Updated on 2021-06-14, Date is till 7 Jun 2021",103.8317743,1.30419842,NIL,Orchard
5/30/2021,0940h - 1630h,NTUC Foodfare (476D Upper Serangoon View),NaN,https://www.todayonline.com/singapore/resorts-world-sentosa-casino-supermarket-chua-chu-kang-among-places-visited-covid-19-cases,Added/ Updated on 2021-06-01,103.9036238,1.377915061,537476,Sengkang
